Course,Location,CRN,Course Title,Instructor,Days,Start Time,End Time,Est Enroll,Act Enroll
FYS 10101 57,1144 308,14074,Moreau First Year Experience,"Capps,Kathryn",W,11:30 AM,12:20 PM,19,19
FYS 10101 82,1144 308,14011,Moreau First Year Experience,"Lane,Katherine",M,11:30 AM,12:20 PM,19,19
HIST 32355 02,1144 308,17410,Rasputin to Putin Tutorial,"Lyandres,Semion",F,2:00 PM,2:50 PM,20,14
LLRO 13186 04,1144 308,20197,Literature University Seminar,"Heller,Ben",TR,12:30 PM,1:45 PM,16,9
ROFR 30310 01,1144 308,11610,Art of Interpretation,"Stojanovic,Sonja",MW,2:00 PM,3:15 PM,19,17
ROSP 40775 01,1144 308,20769,Hispanic Caribbean Identity,"Heller,Ben",TR,11:00 AM,12:15 PM,18,5
THEO 83816 01,1144 308,19840,African Christian Theologies,"Odozor,Paulinus",T,3:30 PM,6:15 PM,15,6
ACCT 40610 01,1144 310,11346,Federal Taxation,"Wittenbach,James",MW,9:30 AM,10:45 AM,24,16
FIN 40610 01,1144 310,14407,Security Analysis,"Reed,Jason",MW,11:00 AM,12:15 PM,40,28
FIN 40610 02,1144 310,15288,Security Analysis,"Reed,Jason",MW,12:30 PM,1:45 PM,40,26
FIN 40610 03,1144 310,10628,Security Analysis,"Reed,Jason",MW,2:00 PM,3:15 PM,40,12
FIN 40690 01,1144 310,12912,Behavioral Finance,"Kelly,Peter",TR,11:00 AM,12:15 PM,40,40
FIN 40690 02,1144 310,13983,Behavioral Finance,"Kelly,Peter",TR,12:30 PM,1:45 PM,40,40
MGTO 30510 01,1144 311,14717,Social Entrepreneurship,"Hurst,Charlice",MW,9:30 AM,10:45 AM,24,15
CE 30510 01,1144 312,14341,Geotechnical Engineering,"Khasawneh,Yazen",TR,2:00 PM,3:15 PM,47,45
ECON 30335 01,1144 312,17950,Introduction to Linear Regress,"Derdzyan,Aram",F,3:30 PM,4:45 PM,40,35
FIN 30400 01,1144 312,12574,Corporate Finance,"Zambrana,Rafael",MW,9:30 AM,10:45 AM,40,13
FIN 30400 02,1144 312,11255,Corporate Finance,"Zambrana,Rafael",MW,11:00 AM,12:15 PM,40,17
FIN 30400 03,1144 312,12061,Corporate Finance,"Zambrana,Rafael",MW,12:30 PM,1:45 PM,40,18
FIN 40500 01,1144 312,17030,International Finance,"Huang,Roger",MW,2:00 PM,3:15 PM,40,19
FIN 40500 02,1144 312,17031,International Finance,"Huang,Roger",MW,3:30 PM,4:45 PM,40,10
FIN 40630 01,1144 312,15289,Options and Futures,"Golez,Benjamin",TR,9:30 AM,10:45 AM,40,9
FIN 40630 02,1144 312,15290,Options and Futures,"Golez,Benjamin",TR,11:00 AM,12:15 PM,40,24
FIN 30210 01,1144 313,12060,Managerial Economics,"Shrout,Amy",MW,9:30 AM,10:45 AM,45,43
FIN 30210 02,1144 313,10994,Managerial Economics,"Shrout,Amy",MW,11:00 AM,12:15 PM,45,44
FIN 30210 03,1144 313,13345,Managerial Economics,"Shrout,Amy",MW,12:30 PM,1:45 PM,45,43
MARK 30650 01,1144 313,15946,Contemporary Sales Management,"Essig,Robert",TR,11:00 AM,12:15 PM,15,8
MARK 40100 01,1144 313,15369,Strategic Marketing,"Essig,Robert",TR,9:30 AM,10:45 AM,15,14
ACCT 30120 01,1144 316,10625,Acct Measurement&Disclosure II,"Mittelstaedt,H.  Fred",TR,12:30 PM,1:45 PM,28,16
ACCT 30120 02,1144 316,10626,Acct Measurement&Disclosure II,"Mittelstaedt,H.  Fred",TR,2:00 PM,3:15 PM,28,15
EE 32347 01,1144 316,20438,Fund.Semiconductors Recitation,"O'Sullivan,Thomas",T,4:00 PM,5:00 PM,42,35
FIN 30600 04,1144 316,10627,Investment Theory,"Matthies,Ben",MW,9:30 AM,10:45 AM,40,13
FIN 30600 05,1144 316,11888,Investment Theory,"Matthies,Ben",MW,11:00 AM,12:15 PM,40,17
FIN 30600 06,1144 316,15938,Investment Theory,"Matthies,Ben",MW,12:30 PM,1:45 PM,40,16
FIN 40460 01,1144 316,15939,Working Capital Management,"Clements,Walter",TR,9:30 AM,10:45 AM,40,23
FIN 40460 02,1144 316,20652,Working Capital Management,"Clements,Walter",TR,11:00 AM,12:15 PM,40,35
ACCT 30210 01,1144 317,10667,Strategic Cost Management,"Ramanan,Ramachandran",TR,9:30 AM,10:45 AM,30,18
ACCT 30210 02,1144 317,12397,Strategic Cost Management,"Ramanan,Ramachandran",TR,11:00 AM,12:15 PM,30,29
CSE 40622 01,1144 317,16920,Cryptography,"Jung,Taeho",MW,12:30 PM,1:45 PM,47,46
ECON 30331 01,1144 317,12106,Econometrics,"Dinkelman,Taryn",MW,9:30 AM,10:45 AM,47,28
ECON 30331 02,1144 317,12370,Econometrics,"Dinkelman,Taryn",MW,11:00 AM,12:15 PM,47,39
ECON 30331 04,1144 317,16536,Econometrics,"Lee,Byung-Joo",MW,3:30 PM,4:45 PM,47,0
ECON 40357 01,1144 317,13817,Financial Econometrics,"Lee,Byung-Joo",MW,2:00 PM,3:15 PM,47,33
FIN 30400 04,1144 317,12337,Corporate Finance,"Zator,Michal",TR,12:30 PM,1:45 PM,40,32
FIN 30400 05,1144 317,17025,Corporate Finance,"Zator,Michal",TR,2:00 PM,3:15 PM,40,23
FIN 30400 06,1144 317,17026,Corporate Finance,"Zator,Michal",TR,3:30 PM,4:45 PM,40,12
ACCT 30100 01,1144 318,20649,Corporate Financial Reporting,"Watkins,Jessica",TR,9:30 AM,10:45 AM,36,34
ACCT 30100 02,1144 318,20648,Corporate Financial Reporting,"Watkins,Jessica",TR,11:00 AM,12:15 PM,36,32
ACCT 30100 05,1144 318,20647,Corporate Financial Reporting,"Watkins,Jessica",TR,12:30 PM,1:45 PM,36,34
ACCT 40510 01,1144 318,12064,Audit and Assurance Services,"Kowaleski,Zachary",MW,8:00 AM,9:15 AM,20,18
ACCT 40510 02,1144 318,12065,Audit and Assurance Services,"Kowaleski,Zachary",MW,9:30 AM,10:45 AM,20,20
ACCT 40510 03,1144 318,12335,Audit and Assurance Services,"Kowaleski,Zachary",MW,11:00 AM,12:15 PM,20,20
ACCT 40610 02,1144 318,11785,Federal Taxation,"Wittenbach,James",TR,3:30 PM,4:45 PM,24,12
AME 50561 01,1144 318,16060,Reliability Engineering,"Ovaert,Timothy",TR,2:00 PM,3:15 PM,40,28
CE 60810 01,1144 318,17866,Professional Eng. Develop. I,"Alleman,James",TR,8:00 AM,9:15 AM,30,9
ACCT 30110 01,1144 319,10237,Acct Measurement&Disclosure I,"Donovan,John",MW,11:00 AM,12:15 PM,26,23
