"Timestamp,""OccSensor_Log"",""SpaceTemp_Log"""
"10/25/2021 8:00:00 AM,""0.00"",""72.54"""
"10/25/2021 7:45:00 AM,""0.00"",""72.52"""
"10/25/2021 7:30:00 AM,""0.00"",""72.48"""
"10/25/2021 7:15:00 AM,""0.00"",""72.45"""
"10/25/2021 7:00:00 AM,""0.00"",""72.52"""
"10/25/2021 6:45:00 AM,""0.00"",""72.50"""
"10/25/2021 6:30:00 AM,""0.00"",""72.52"""
"10/25/2021 6:15:00 AM,""0.00"",""72.64"""
"10/25/2021 6:00:00 AM,""0.00"",""72.63"""
"10/25/2021 5:45:00 AM,""0.00"",""72.57"""
"10/25/2021 5:30:00 AM,""0.00"",""72.59"""
"10/25/2021 5:15:00 AM,""0.00"",""72.59"""
"10/25/2021 5:00:00 AM,""0.00"",""72.57"""
"10/25/2021 4:45:00 AM,""0.00"",""72.54"""
"10/25/2021 4:30:00 AM,""0.00"",""72.50"""
"10/25/2021 4:15:00 AM,""0.00"",""72.21"""
"10/25/2021 4:00:00 AM,""0.00"",""72.39"""
"10/25/2021 3:45:00 AM,""0.00"",""72.37"""
"10/25/2021 3:30:00 AM,""0.00"",""72.41"""
"10/25/2021 3:15:00 AM,""0.00"",""72.37"""
"10/25/2021 3:00:00 AM,""0.00"",""72.32"""
"10/25/2021 2:45:00 AM,""0.00"",""72.30"""
"10/25/2021 2:30:00 AM,""0.00"",""72.32"""
"10/25/2021 2:15:00 AM,""0.00"",""72.34"""
"10/25/2021 2:00:00 AM,""0.00"",""72.36"""
"10/25/2021 1:45:00 AM,""0.00"",""72.43"""
"10/25/2021 1:30:00 AM,""0.00"",""72.43"""
"10/25/2021 1:15:00 AM,""0.00"",""72.39"""
"10/25/2021 1:00:00 AM,""0.00"",""72.39"""
"10/25/2021 12:45:00 AM,""0.00"",""72.37"""
"10/25/2021 12:30:00 AM,""0.00"",""72.41"""
"10/25/2021 12:15:00 AM,""0.00"",""72.46"""
"10/25/2021 12:00:00 AM,""0.00"",""72.55"""
"10/24/2021 11:45:00 PM,""0.00"",""72.64"""
"10/24/2021 11:30:00 PM,""0.00"",""72.59"""
"10/24/2021 11:15:00 PM,""0.00"",""72.59"""
"10/24/2021 11:00:00 PM,""0.00"",""72.59"""
"10/24/2021 10:45:00 PM,""0.00"",""72.59"""
"10/24/2021 10:30:00 PM,""0.00"",""72.48"""
"10/24/2021 10:15:00 PM,""0.00"",""72.46"""
"10/24/2021 10:00:00 PM,""0.00"",""72.41"""
"10/24/2021 9:45:00 PM,""0.00"",""72.48"""
"10/24/2021 9:30:00 PM,""0.00"",""72.50"""
"10/24/2021 9:15:00 PM,""0.00"",""72.63"""
"10/24/2021 9:00:00 PM,""0.00"",""72.64"""
"10/24/2021 8:45:00 PM,""0.00"",""72.59"""
"10/24/2021 8:30:00 PM,""0.00"",""72.59"""
"10/24/2021 8:15:00 PM,""0.00"",""72.64"""
"10/24/2021 8:00:00 PM,""0.00"",""72.79"""
"10/24/2021 7:45:00 PM,""0.00"",""72.82"""
"10/24/2021 7:30:00 PM,""0.00"",""72.81"""
"10/24/2021 7:15:00 PM,""0.00"",""72.79"""
"10/24/2021 7:00:00 PM,""0.00"",""72.70"""
"10/24/2021 6:45:00 PM,""0.00"",""72.68"""
"10/24/2021 6:30:00 PM,""0.00"",""72.68"""
"10/24/2021 6:15:00 PM,""0.00"",""72.75"""
"10/24/2021 6:00:00 PM,""0.00"",""72.82"""
"10/24/2021 5:45:00 PM,""0.00"",""72.84"""
"10/24/2021 5:30:00 PM,""0.00"",""72.84"""
"10/24/2021 5:15:00 PM,""0.00"",""72.86"""
"10/24/2021 5:00:00 PM,""0.00"",""72.84"""
"10/24/2021 4:45:00 PM,""0.00"",""72.84"""
"10/24/2021 4:30:00 PM,""0.00"",""72.81"""
"10/24/2021 4:15:00 PM,""0.00"",""72.86"""
"10/24/2021 4:00:00 PM,""0.00"",""72.82"""
"10/24/2021 3:45:00 PM,""0.00"",""72.73"""
"10/24/2021 3:30:00 PM,""0.00"",""72.73"""
"10/24/2021 3:15:00 PM,""0.00"",""72.73"""
"10/24/2021 3:00:00 PM,""0.00"",""72.81"""
"10/24/2021 2:45:00 PM,""0.00"",""72.82"""
"10/24/2021 2:30:00 PM,""0.00"",""72.70"""
"10/24/2021 2:15:00 PM,""0.00"",""72.70"""
"10/24/2021 2:00:00 PM,""0.00"",""72.70"""
"10/24/2021 1:45:00 PM,""0.00"",""72.68"""
"10/24/2021 1:30:00 PM,""0.00"",""72.68"""
"10/24/2021 1:15:00 PM,""0.00"",""72.66"""
"10/24/2021 1:00:00 PM,""0.00"",""72.66"""
"10/24/2021 12:45:00 PM,""0.00"",""72.68"""
"10/24/2021 12:30:00 PM,""0.00"",""72.66"""
"10/24/2021 12:15:00 PM,""0.00"",""72.61"""
"10/24/2021 12:00:00 PM,""0.00"",""72.61"""
"10/24/2021 11:45:00 AM,""0.00"",""72.59"""
"10/24/2021 11:30:00 AM,""0.00"",""72.57"""
"10/24/2021 11:15:00 AM,""0.00"",""72.57"""
"10/24/2021 11:00:00 AM,""0.00"",""72.55"""
"10/24/2021 10:45:00 AM,""0.00"",""72.57"""
"10/24/2021 10:30:00 AM,""0.00"",""72.55"""
"10/24/2021 10:15:00 AM,""0.00"",""72.57"""
"10/24/2021 10:00:00 AM,""0.00"",""72.57"""
"10/24/2021 9:45:00 AM,""0.00"",""72.59"""
"10/24/2021 9:30:00 AM,""0.00"",""72.57"""
"10/24/2021 9:15:00 AM,""0.00"",""72.64"""
"10/24/2021 9:00:00 AM,""0.00"",""72.64"""
"10/24/2021 8:45:00 AM,""0.00"",""72.66"""
"10/24/2021 8:30:00 AM,""0.00"",""72.66"""
"10/24/2021 8:15:00 AM,""0.00"",""72.66"""
"10/24/2021 8:00:00 AM,""0.00"",""72.64"""
"10/24/2021 7:45:00 AM,""0.00"",""72.66"""
"10/24/2021 7:30:00 AM,""0.00"",""72.70"""
"10/24/2021 7:15:00 AM,""0.00"",""72.73"""
"10/24/2021 7:00:00 AM,""0.00"",""72.73"""
"10/24/2021 6:45:00 AM,""0.00"",""72.75"""
"10/24/2021 6:30:00 AM,""0.00"",""72.75"""
"10/24/2021 6:15:00 AM,""0.00"",""72.84"""
"10/24/2021 6:00:00 AM,""0.00"",""72.90"""
"10/24/2021 5:45:00 AM,""0.00"",""72.93"""
"10/24/2021 5:30:00 AM,""0.00"",""72.95"""
"10/24/2021 5:15:00 AM,""0.00"",""72.97"""
"10/24/2021 5:00:00 AM,""0.00"",""72.97"""
"10/24/2021 4:45:00 AM,""0.00"",""73.02"""
"10/24/2021 4:30:00 AM,""0.00"",""73.08"""
"10/24/2021 4:15:00 AM,""0.00"",""73.09"""
"10/24/2021 4:00:00 AM,""0.00"",""73.09"""
"10/24/2021 3:45:00 AM,""0.00"",""73.09"""
"10/24/2021 3:30:00 AM,""0.00"",""73.11"""
"10/24/2021 3:15:00 AM,""0.00"",""73.13"""
"10/24/2021 3:00:00 AM,""0.00"",""73.17"""
"10/24/2021 2:45:00 AM,""0.00"",""73.18"""
"10/24/2021 2:30:00 AM,""0.00"",""73.20"""
"10/24/2021 2:15:00 AM,""0.00"",""73.20"""
"10/24/2021 2:00:00 AM,""0.00"",""73.20"""
"10/24/2021 1:45:00 AM,""0.00"",""73.22"""
"10/24/2021 1:30:00 AM,""0.00"",""73.27"""
"10/24/2021 1:15:00 AM,""0.00"",""73.27"""
"10/24/2021 1:00:00 AM,""0.00"",""73.33"""
"10/24/2021 12:45:00 AM,""0.00"",""73.36"""
"10/24/2021 12:30:00 AM,""0.00"",""73.38"""
"10/24/2021 12:15:00 AM,""0.00"",""73.40"""
"10/24/2021 12:00:00 AM,""0.00"",""73.47"""
"10/23/2021 11:45:00 PM,""0.00"",""73.51"""
"10/23/2021 11:30:00 PM,""0.00"",""73.56"""
"10/23/2021 11:15:00 PM,""0.00"",""73.58"""
"10/23/2021 11:00:00 PM,""0.00"",""73.58"""
"10/23/2021 10:45:00 PM,""0.00"",""73.63"""
"10/23/2021 10:30:00 PM,""0.00"",""73.67"""
"10/23/2021 10:15:00 PM,""0.00"",""73.72"""
"10/23/2021 10:00:00 PM,""0.00"",""73.76"""
"10/23/2021 9:45:00 PM,""0.00"",""73.76"""
"10/23/2021 9:30:00 PM,""0.00"",""73.80"""
"10/23/2021 9:15:00 PM,""0.00"",""73.81"""
"10/23/2021 9:00:00 PM,""0.00"",""73.83"""
"10/23/2021 8:45:00 PM,""0.00"",""73.87"""
"10/23/2021 8:30:00 PM,""0.00"",""73.92"""
"10/23/2021 8:15:00 PM,""0.00"",""73.96"""
"10/23/2021 8:00:00 PM,""0.00"",""73.99"""
